Name,Image,Status,Municipality,first lit,automated,Tower height,focal height (m),Range (nm),Owned by,Protected,Coordinates
Geita,,Active,Askvoll,1897,1982,31,42.8,16.9,Kystverket,Yes,61.279159°N 4.842136°E
Fulehuk,,Active,Nøtterøy,1821,1989,15,16.3,13,Kystverket,No,59.175357°N 10.599318°E
Fugløykalven,,Active,Karlsøy,1920,2003,8.5,41.1,17.4,Kystverket,Yes,70.326366°N 20.19718°E
Fruholmen,,Active,Måsøy,1866,2006,18,47.7,19,Kystverket,No,71.103345°N 24.028149°E
Flåvær,,Active,Herøy,1870,1979,13.8,16.8,13.2,Kystverket,No,62.315854°N 5.585521°E
Flatøy,,Active,Steigen,1882,1966,13,47,17.6,Kystverket,Yes,67.93009°N 14.808557°E
Flatholmen,,Active,Sola,1862,1984,8,17.5,13.3,Kystverket,No,58.932566°N 5.583973°E
Flatflesa,,Active,Sandøy,1902,1988,22.6,25.3,15,Kystverket,No,62.848066°N 6.722879°E
Fjøløy,,Active,Rennesøy,1849,1977,6.9,17.5,13.8,Kystverket,No,59.089897°N 5.570193°E
Finnvær,,Active,Frøya,1912,1985,15,23,14.5,Kystverket,Yes,64.070574°N 9.115365°E
Filtvet,,Active,Hurum,1840,1985,13,13,12,Kystverket,Yes,59°34′15″N 10°37′04″E
Feistein,,Active,Klepp,1859,1990,25,34,16.8,Kystverket,Yes,58.826703°N 5.505782°E
Erkna,,Active,Giske,1870,1991,10.5,49.5,17.5,Kystverket,No,62.559892°N 5.97306°E
Ellingråsa,,Active,Flatanger,1888,1959,10.7,22.5,14.5,Kystverket,No,64.575828°N 10.80441°E
Eigerøy,,Active,Eigersund,1854,1989,32.9,46.5,18.8,Kystverket,Yes,58.431053°N 5.868547°E
Dyna,,Active,Oslo,1875,1956,12.4,5.6,9.5,Oslo,No,59.894752°N 10.688388°E
Digerudgrunnen,,Active,Frogn,1871,1975,7,7.5,10.3,Kystverket,No,59.719515°N 10.586057°E
Buholmråsa,,Active,Osen,1917,1994,23.5,36,17.2,Kystverket,Yes,64.40246°N 10.456782°E
Bremstein,,Active,Vega,1925,1980,27,41.5,18,Kystverket,Yes,65.606402°N 11.323492°E
Børøyholmen,,1970,Hitra,1874,1970,8,13.3,9.9,Kystverket,No,63.5719°N 9.2225°E
Bøkfjord,,Active,Sør-Varanger,1910,2006,10,33,16,Kystverket,Yes,69.886587°N 30.228802°E
Bjørnsund,,Active,Fræna,1871,1993,5,26,15.3,Kystverket,No,62.896563°N 6.819267°E
Bjørnøy,,1972,Bodø,1890,NA,9,45.7,16.8,Kystverket,No,67.429628°N 14.468408°E
Bastøy,,Active,Horten,1840,1986,14,16,14,Kystverket,No,59.386607°N 10.53705°E
Barøy,,Active,Ballangen,1903,1980,10,28.5,15.5,Kystverket,No,68.354704°N 16.083801°E
Åsvær,,Active,Dønna,1876,1980,18.5,24.5,15,Kystverket,Yes,66.274819°N 12.333918°E
Asenvågøy,,Active,Bjugn,1921,1975,14,30,16,Kystverket,No,63.951846°N 9.80622°E
Andenes,,Active,Andøy,1859,1978,40,40,17.8,Govt and private,Yes,69.325136°N 16.1203°E
Anda,,Active,Øksnes,1932,1987,16,50,18.2,Kystverket,Yes,69.068189°N 15.177611°E
Alnes,,Active,Giske,1853,1982,22.5,36,16.4,Kystverket,Yes,62.491139°N 5.97245°E
Ålesund,,Active,Giske,1858,1889,,6,6,Kystverket,No,62.475702°N 6.166698°E
Agdenes,,1984,Agdenes,1804,NA,14.5,37.8,16.9,Kystverket,No,63.647269°N 9.745769°E
See also,,,,,,,,,,,
